request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days.
request_28,300.14,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,Pay EUR 1302.40 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1100 minimum.
request_29,7458.57,affordable_with_plan,full_payment,2025-11-04:51524,2025-11-04,reduce_to:event_2660:712.80,"Reduce dining to ZAR 712.80, then pay ZAR 51524 today. This leaves at least ZAR 28300 available."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2426322.06,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Pay IDR 18164000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 16588900 minimum.
request_32,13350.57,affordable_later,wait,2025-04-15:40018,2025-04-15,none,Pay ZAR 40018 in full on 15 April 2025. Paying earlier would take the balance below the ZAR 35700 minimum.
request_33,28992.90,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Pay INR 118000 in full on 15 March 2026. Paying earlier would take the balance below the INR 102100 minimum.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days.
request_35,22683.55,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Pay INR 212000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106400 minimum.
request_36,577.60,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Pay USD 3954 in full on 15 September 2026. Paying earlier would take the balance below the USD 2400 minimum.
request_37,3255110.32,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Pay IDR 14649000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 17056200 minimum.
request_38,164.59,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,64495.60,affordable_later,wait,2026-05-15:208600,2026-05-15,none,Pay INR 208600 in full on 15 May 2026. Paying earlier would take the balance below the INR 213400 minimum.
request_40,354.41,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,Pay EUR 1290.30 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1500 minimum.
request_41,8793832.85,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,Pay IDR 38760000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25366600 minimum.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This leaves at least INR 113100 available over the next 90 days.
request_43,8037236.36,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Pay IDR 43339000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21398000 minimum.
request_44,30721.58,affordable_later,wait,2025-04-15:95800,2025-04-15,none,Pay INR 95800 in full on 15 April 2025. Paying earlier would take the balance below the INR 82900 minimum.
request_45,3261692.63,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Pay IDR 21983000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11149800 minimum.
request_46,38716.76,affordable_with_plan,partial_payment,2024-12-03:38716.76|2024-12-15:10733.24,2024-12-15,none,Pay INR 38716.76 today and the remaining INR 10733.24 on 15 December 2024. This completes the full request and keeps the INR 84000 minimum protected.
request_47,22573797.63,affordable_with_plan,full_payment,2025-05-05:38114000,2025-05-05,stop:event_4341,"Stop the community fitness plan, then pay IDR 38114000 today. This leaves at least IDR 30049000 available."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days.
request_49,13401305.02,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11902106.67, starting 18 March 2024. This leaves at least IDR 20275700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This leaves at least INR 99700 available over the next 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days.
request_52,18837.53,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Pay INR 28870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41500 minimum.
request_53,463.84,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2100 available."
request_54,1348.50,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121528 request. Although ZAR 1348.50 is available today, the full amount cannot be completed safely within 90 days."
request_55,129237.77,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 218600 request. Although INR 129237.77 is available today, the full amount cannot be completed safely within 90 days."
request_56,623.61,affordable_with_plan,partial_payment,2025-02-03:623.61|2025-02-15:257.95,2025-02-15,none,Pay USD 623.61 today and the remaining USD 257.95 on 15 February 2025. This completes the full request and keeps the USD 2100 minimum protected.
